country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
RU,SVO,UUEE,莫斯科,Sheremetyevo,55.972641,37.414581,Europe/Moscow,Moscow,Moscow Sheremetyevo
RU,SVX,USSS,Yekaterinburg,Koltsovo,56.743099,60.802719,Asia/Yekaterinburg,Yekaterinburg,Yekaterinburg Koltsovo
RU,SWT,UNSS,Strezhevoy,Strezhevoy,60.7094,77.660003,Asia/Krasnoyarsk,,
RU,SYS,UERS,Saskylakh,Saskylakh,71.927902,114.080001,Asia/Yakutsk,,
RU,TBW,UUOT,Tambow,Donskoye,52.806098,41.482799,Europe/Moscow,,
RU,TGK,URRT,Taganrog,Taganrog Yuzhny,47.198333,38.849166,Europe/Moscow,,
RU,TGP,UNIP,Bor,Podkamennaya Tunguska,61.589699,89.994003,Asia/Krasnoyarsk,,
RU,THX,UOTT,Turukhansk,Turukhansk,65.797203,87.935302,Asia/Krasnoyarsk,,
RU,TJM,USTR,Tyumen,Roshchino,57.189601,65.324302,Asia/Yekaterinburg,,
RU,TOF,UNTT,Tomsk,Bogashevo,56.383331,85.21167,Asia/Krasnoyarsk,Tomsk,Tomsk Bogashevo
RU,UCT,UUYH,Ukhta,Ukhta,63.566898,53.804698,Europe/Moscow,,
RU,UFA,UWUU,Ufa,Ufa,54.557498,55.874401,Asia/Yekaterinburg,,
RU,UIK,UIBS,Ust Ilimsk,Ust-Ilimsk,58.1361,102.565002,Asia/Irkutsk,,
RU,UKX,UITT,Ust-Kut,Ust-Kut,56.8567,105.730003,Asia/Irkutsk,,
RU,ULK,UERL,Lensk,Lensk,60.7206,114.825996,Asia/Yakutsk,,
RU,ULV,UWLL,Ulyanovsk,Ulyanovsk Baratayevka,54.268299,48.226699,Europe/Samara,,
RU,ULY,UWLW,Ulyanovsk,Ulyanovsk East,54.401,48.8027,Europe/Samara,,
RU,UMS,UEMU,Ust-Maya,Ust-Maya,60.356998,134.434997,Asia/Yakutsk,,
RU,URJ,USHU,Uraj,Uray,60.103298,64.826698,Asia/Yekaterinburg,,
RU,URS,UUOK,Kursk,Kursk East,51.750598,36.2956,Europe/Moscow,,
RU,USK,UUYS,Usinsk,Usinsk,66.004699,57.367198,Europe/Moscow,,
RU,USR,UEMT,Ust-Nera,Ust-Nera,64.550003,143.115005,Asia/Vladivostok,,
RU,UTS,UUYX,Ust-Tsylma,Ust-Tsylma,65.437294,52.200336,Europe/Moscow,,
RU,UUA,UWKB,Bugulma,Bugulma,54.639999,52.8017,Europe/Moscow,,
RU,UUD,UIUU,Ulan-ude,Ulan-Ude  (Mukhino),51.807758,107.437599,Asia/Irkutsk,Ulan-Ude,Ulan-Ude
RU,UUS,UHSS,Yuzhno-sakhalinsk,Yuzhno-Sakhalinsk,46.888672,142.717499,Asia/Srednekolymsk,Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk
RU,VGD,ULWW,Vologda,Vologda,59.282501,39.9444,Europe/Moscow,,
RU,VKO,UUWW,莫斯科,Vnukovo,55.59153,37.261478,Europe/Moscow,Moscow,Moscow Vnukovo
RU,VKT,UUYW,Vorkuta,Vorkuta,67.488601,63.993099,Europe/Moscow,,
RU,VLU,ULOL,Velikiye Luki,Velikiye Luki,56.381099,30.6081,Europe/Moscow,,
RU,VOG,URWW,Volgograd,Volgograd,48.782501,44.3455,Europe/Moscow,,
RU,VOZ,UUOO,Voronezh,Voronezh,51.814201,39.229598,Europe/Moscow,,
RU,VVO,UHWW,符拉迪沃斯托克,Vladivostok,43.398949,132.147995,Asia/Vladivostok,Vladivostok,Vladivostok
RU,YKS,UEEE,Yakutsk,Yakutsk,62.09325,129.770599,Asia/Yakutsk,Yakutsk,Yakutsk
RU,ZIA,UUBW,Ramenskoe,Zhukovsky,55.553333,38.151669,Europe/Moscow,Moscow,Moscow Zhukovsky
RU,ZKP,UESU,Zyryanka,Zyryanka,65.7485,150.8889,Asia/Srednekolymsk,,
RW,GYI,HRYG,Gisenyi,Gisenyi,-1.677199,29.258899,Africa/Kigali,,
RW,KGL,HRYR,基加利,基加利,-1.96862,30.13945,Africa/Kigali,Kigali,Kigali
RW,KME,HRZA,Kamembe,Kamembe,-2.462239,28.907899,Africa/Kigali,,
SA,ABT,OEBA,El-baha,Al Baha,20.2961,41.6343,Asia/Riyadh,,
SA,AHB,OEAB,Abha,Abha Regional,18.2404,42.6566,Asia/Riyadh,,
SA,AJF,OESK,Al-Jawf,Al-Jawf Domestic,29.7851,40.099998,Asia/Riyadh,,
SA,AKH,OEPS,Al Kharj,Prince Sultan Air Base,24.0627,47.580501,Asia/Riyadh,,
SA,AQI,OEPA,Hafr Al-batin,Al Qaisumah/Hafr Al Batin,28.335199,46.125099,Asia/Riyadh,,
SA,BHH,OEBH,Bisha,Bisha,19.984399,42.620899,Asia/Riyadh,,
SA,DHA,OEDR,Dhahran,King Abdulaziz Air Base,26.265399,50.152,Asia/Riyadh,,
SA,DMM,OEDF,Dammam,King Fahd,26.471161,49.79789,Asia/Riyadh,Dammam,Dammam King Fahd
SA,EAM,OENG,Nejran,Nejran,17.6114,44.4192,Asia/Riyadh,,
