country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
US,KARA,ARA,New Iberia,New Iberia Acadiana Regional,30.03775,-91.883797,America/Chicago,Louisiana,Acadiana Regional
US,KARB,ARB,,,42.222999,-83.745597,America/New_York,Ann Arbor,Ann Arbor Municipal
US,KART,ART,Watertown,Watertown,43.99192,-76.021698,America/New_York,Watertown,Watertown
US,KARV,ARV,,,45.927898,-89.730903,America/Chicago,Minocqua - Woodruff,Lakeland-Noble F. Lee Memorial field
US,KARW,BFT,,,32.4122,-80.634399,America/New_York,Beaufort,Beaufort County
US,KASE,ASE,Aspen,Aspen Pitkin County,39.22316,-106.867996,America/Denver,Aspen,Aspen-Pitkin Co/Sardy Field
US,KASH,ASH,,,42.7817,-71.514801,America/New_York,Nashua,Boire Field
US,KAST,AST,,,46.158,-123.878997,America/Los_Angeles,Astoria,Astoria Regional
US,KATL,ATL,Atlanta,Atlanta Hartsfield-Jackson,33.636719,-84.428001,America/New_York,亚特兰大,Hartsfield Jackson Atlanta
US,KATW,ATW,Appleton,Appleton,44.258091,-88.518997,America/Chicago,Appleton,Appleton
US,KATY,ATY,Watertown,Watertown Regional,44.913971,-97.154701,America/Chicago,Watertown,Watertown Regional
US,KAUG,AUG,Augusta,Augusta State,44.320648,-69.797302,America/New_York,Augusta,Augusta State
US,KAUO,AUO,Auburn,Auburn University Regional,32.615101,-85.433998,America/Chicago,Auburn,Auburn Opelika Robert G. Pitts
US,KAUS,AUS,Austin,Austin Bergstrom,30.194521,-97.6698,America/Chicago,Austin,Austin Bergstrom
US,KAUW,AUW,,,44.9262,-89.626602,America/Chicago,Wausau,Wausau Downtown
US,KAVL,AVL,Asheville,Asheville Regional,35.436192,-82.541801,America/New_York,Asheville,Asheville Regional
US,KAVO,AVO,,,27.591199,-81.527801,America/New_York,Avon Park,Avon Park Executive
US,KAVP,AVP,Avoca,Avoca Wilkes-Barre/Scranton,41.33847,-75.723297,America/New_York,Scranton,Wilkes Barre Scranton
US,KAVQ,AVW,,,32.409599,-111.218002,America/Phoenix,Tucson,Marana Regional
US,KAVX,AVX,,,33.4049,-118.416,America/Los_Angeles,Catalina Island,Catalina
US,KAZO,AZO,Kalamazoo,Kalamazoo Battle Creek,42.23,-85.550003,America/New_York,Kalamazoo,Kalamazoo Battle Creek
US,KBAB,BAB,,,39.1361,-121.436996,America/Los_Angeles,Marysville,Beale Air Force Base
US,KBAD,BAD,,,32.5018,-93.662696,America/Chicago,Shreveport,Barksdale Air Force Base
US,KBAF,BAF,,,42.157799,-72.715599,America/New_York,Westfield,Westfield-Barnes Regional
US,KBCE,BCE,,,37.706401,-112.144996,America/Denver,Bryce Canyon,Bryce Canyon
US,KBCT,BCT,Boca Raton,Boca Raton,26.3785,-80.107597,America/New_York,Boca Raton,Boca Raton
US,KBDE,BDE,,,48.728401,-94.612197,America/Chicago,Baudette,Baudette
US,KBDL,BDL,Windsor Locks,Windsor Locks Bradley,41.938881,-72.683197,America/New_York,Windsor Locks,Bradley
US,KBDR,BDR,Stratford,Stratford Sikorsky Memorial,41.163471,-73.126099,America/New_York,Stratford,Igor I Sikorsky Memorial
US,KBDU,WBU,,,40.039398,-105.225997,America/Denver,Boulder,Boulder Municipal
US,KBEC,BEC,,,37.694499,-97.214996,America/Chicago,Wichita,Beech Factory
US,KBED,BED,Bedford,Bedford Hanscom Field,42.469952,-71.289001,America/New_York,Bedford,Laurence G Hanscom Field
US,KBFD,BFD,Bradford,Bradford Regional,41.802223,-78.639442,America/New_York,Bradford,Bradford Regional
US,KBFF,BFF,Scottsbluff,Scottsbluff Western Nebraska Regional,41.87402,-103.595001,America/Denver,Scottsbluff,Western Neb. Rgnl/William B. Heilig
US,KBFI,BFI,Seattle,Seattle Boeing Field,47.5341,-122.305901,America/Los_Angeles,西雅图,Boeing Field King County
US,KBFL,BFL,Bakersfield,Bakersfield Meadows Field,35.433861,-119.056999,America/Los_Angeles,Bakersfield,Meadows Field
US,KBFM,BFM,Mobile,Mobile Downtown,30.62677,-88.068001,America/Chicago,Mobile,Mobile Downtown
US,KBGE,BGE,,,30.9715,-84.637397,America/New_York,Bainbridge,Decatur County Industrial Air Park
US,KBGM,BGM,Binghamton,Greater Binghamton,42.208611,-75.979698,America/New_York,Binghamton,Greater Binghamton/Edwin A Link field
