country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,ZSXZ,XUZ,徐州,Xuzhou,徐州观音国际机场,Xuzhou Guanyin,34.052925,117.554077,Asia/Shanghai
CN,ZSYA,YTY,扬州,Yangzhou,扬州泰州国际机场,Yangzhou Taizhou,32.563057,119.718887,Asia/Shanghai
CN,ZSYC,YIC,宜春,Yichun,宜春明月山机场,Yichun Mingyueshan,27.803333,114.30806,Asia/Shanghai
CN,ZSYN,YNZ,盐城,Yancheng,盐城南洋国际机场,Yancheng nanyang,33.385555,120.125275,Asia/Shanghai
CN,ZSYT,YNT,烟台,Yantai,烟台蓬莱国际机场,Yantai Penglai,37.657223,120.987221,Asia/Shanghai
CN,ZSYW,YIW,金华,Yiwu,义乌机场,Yiwu,29.344563,120.028809,Asia/Shanghai
CN,ZSZS,HSN,舟山,Zhoushan,舟山普陀山机场,Putuoshan,29.9342,122.362,Asia/Shanghai
CN,ZUAL,NGQ,阿里,Shi Quan He,阿里昆莎机场,Ngari Gunsa/Ali Kunsha,32.103817,80.054276,Asia/Shanghai
CN,ZUAS,AVA,安顺,Anshun,安顺黄果树机场,Anshun Huangguoshu,26.260555,105.873337,Asia/Shanghai
CN,ZUBD,BPX,昌都,Qamdo,昌都邦达机场,Qamdo Bamda,30.55361,97.10833,Asia/Shanghai
CN,ZUBJ,BFJ,毕节,Bijie,毕节飞雄机场,Bijie Feixiong,27.300278,105.301392,Asia/Shanghai
CN,ZUBZ,BZX,巴中,Bazhong,巴中恩阳机场,Enyang,31.738056,106.64389,Asia/Shanghai
CN,ZUCK,CKG,重庆,Chongqing,重庆江北国际机场,Chongqing Jiangbei,29.71921,106.641602,Asia/Shanghai
CN,ZUDC,DCY,稻城,Daocheng,稻城亚丁机场,Daocheng Yading,29.323055,100.053329,Asia/Shanghai
CN,ZUDX,DAX,达州,Dazhou,达州河机场,Dazhou Heshi,31.135012,107.426888,Asia/Shanghai
